/bin/bash: /Users/danielstevenrodriguezsandoval/Desktop/trabajo bogota 2026/poly-agent/scripts/daily_validation.sh: Operation not permitted
=== Wed Mar  4 07:06:35 -05 2026 Daily Validation Run ===
Running Manifold paper trading...
2026-03-06 10:13:28,693 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/ESUq0s9hPq "HTTP/1.1 200 OK"
2026-03-06 10:13:29,587 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/sZ8UpStQQC "HTTP/1.1 200 OK"
2026-03-06 10:13:33,324 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/2PPzudh08S "HTTP/1.1 200 OK"
2026-03-06 10:13:33,679 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/yURppZ58Id "HTTP/1.1 200 OK"
2026-03-06 10:13:33,907 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/L9q0LNRZgq "HTTP/1.1 200 OK"
2026-03-06 10:13:34,072 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/nILl85PtQn "HTTP/1.1 200 OK"
2026-03-06 10:13:34,313 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/hAnZO0cLcR "HTTP/1.1 200 OK"
2026-03-06 10:13:34,634 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/sl60sPhA2n "HTTP/1.1 200 OK"
2026-03-06 10:13:34,833 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/st59lgqRhS "HTTP/1.1 200 OK"
2026-03-06 10:13:34,990 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/z58Lydtp0P "HTTP/1.1 200 OK"
2026-03-06 10:13:35,162 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/S800hL0Q9P "HTTP/1.1 200 OK"
2026-03-06 10:13:35,329 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/pul00IZOZN "HTTP/1.1 200 OK"
2026-03-06 10:13:35,476 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/uphA9gU6z0 "HTTP/1.1 200 OK"
2026-03-06 10:13:35,637 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/5pZgndIlLt "HTTP/1.1 200 OK"
2026-03-06 10:13:35,795 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/E2p0hnUStc "HTTP/1.1 200 OK"
2026-03-06 10:13:35,945 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/Z6lSPh22CN "HTTP/1.1 200 OK"
2026-03-06 10:13:36,105 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/tupP9qA5s0 "HTTP/1.1 200 OK"
2026-03-06 10:13:36,265 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/cQ020cAP0A "HTTP/1.1 200 OK"
2026-03-06 10:13:36,426 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/hsA2LtEAqq "HTTP/1.1 200 OK"
2026-03-06 10:13:37,341 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/AUdIqgAspc "HTTP/1.1 200 OK"
2026-03-06 10:13:37,849 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:13:38,001 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:13:38,465 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:13:38,541 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:13:38,688 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:13:38,765 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:13:38,910 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:13:38,978 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:13:39,020 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:13:39,089 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:13:39,235 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/26sn2AIUgs "HTTP/1.1 200 OK"
2026-03-06 10:13:39,435 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/PLS9ZCLzth "HTTP/1.1 200 OK"
2026-03-06 10:13:39,750 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/nLRun2NyU8 "HTTP/1.1 200 OK"
2026-03-06 10:13:39,909 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/AZ0IIQ9c2q "HTTP/1.1 200 OK"
2026-03-06 10:13:39,928 | INFO | watchdog.scripts.run_paper_trading | paper_summary markets_checked=77 signals_generated=0 bets_placed=0 exits=0 running_pnl_estimate=-83.8797
2026-03-06 10:14:40,324 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/markets?limit=80 "HTTP/1.1 200 OK"
2026-03-06 10:14:40,827 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/syR2E2OC9l "HTTP/1.1 200 OK"
2026-03-06 10:14:41,047 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/ESUq0s9hPq "HTTP/1.1 200 OK"
2026-03-06 10:14:41,215 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/sZ8UpStQQC "HTTP/1.1 200 OK"
2026-03-06 10:14:41,373 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/2PPzudh08S "HTTP/1.1 200 OK"
2026-03-06 10:14:41,535 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/yURppZ58Id "HTTP/1.1 200 OK"
2026-03-06 10:14:41,695 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/L9q0LNRZgq "HTTP/1.1 200 OK"
2026-03-06 10:14:41,867 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/nILl85PtQn "HTTP/1.1 200 OK"
2026-03-06 10:14:42,279 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/hAnZO0cLcR "HTTP/1.1 200 OK"
2026-03-06 10:14:42,444 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/sl60sPhA2n "HTTP/1.1 200 OK"
2026-03-06 10:14:42,618 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/st59lgqRhS "HTTP/1.1 200 OK"
2026-03-06 10:14:42,776 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/z58Lydtp0P "HTTP/1.1 200 OK"
2026-03-06 10:14:42,935 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/S800hL0Q9P "HTTP/1.1 200 OK"
2026-03-06 10:14:43,097 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/pul00IZOZN "HTTP/1.1 200 OK"
2026-03-06 10:14:43,268 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/uphA9gU6z0 "HTTP/1.1 200 OK"
2026-03-06 10:14:43,420 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/5pZgndIlLt "HTTP/1.1 200 OK"
2026-03-06 10:14:43,597 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/E2p0hnUStc "HTTP/1.1 200 OK"
2026-03-06 10:14:43,775 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/Z6lSPh22CN "HTTP/1.1 200 OK"
2026-03-06 10:14:43,932 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/tupP9qA5s0 "HTTP/1.1 200 OK"
2026-03-06 10:14:44,105 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/cQ020cAP0A "HTTP/1.1 200 OK"
2026-03-06 10:14:44,256 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/hsA2LtEAqq "HTTP/1.1 200 OK"
2026-03-06 10:14:49,216 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/AUdIqgAspc "HTTP/1.1 200 OK"
2026-03-06 10:14:49,376 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:14:49,623 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:14:49,850 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:14:50,072 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:14:50,203 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:14:50,325 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:14:50,503 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:14:50,571 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:14:50,619 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:14:50,665 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/gnUnUO58AE "HTTP/1.1 200 OK"
2026-03-06 10:14:50,807 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/26sn2AIUgs "HTTP/1.1 200 OK"
2026-03-06 10:14:50,969 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/PLS9ZCLzth "HTTP/1.1 200 OK"
2026-03-06 10:14:51,181 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/nLRun2NyU8 "HTTP/1.1 200 OK"
2026-03-06 10:14:51,367 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/AZ0IIQ9c2q "HTTP/1.1 200 OK"
2026-03-06 10:14:51,378 | INFO | watchdog.scripts.run_paper_trading | paper_summary markets_checked=77 signals_generated=0 bets_placed=0 exits=0 running_pnl_estimate=-83.8797
2026-03-06 10:15:51,801 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/markets?limit=80 "HTTP/1.1 200 OK"
2026-03-06 10:15:52,001 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/syR2E2OC9l "HTTP/1.1 200 OK"
2026-03-06 10:15:52,175 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/ESUq0s9hPq "HTTP/1.1 200 OK"
2026-03-06 10:15:52,331 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/sZ8UpStQQC "HTTP/1.1 200 OK"
2026-03-06 10:15:52,712 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/2PPzudh08S "HTTP/1.1 200 OK"
2026-03-06 10:15:52,857 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/yURppZ58Id "HTTP/1.1 200 OK"
2026-03-06 10:15:53,021 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/L9q0LNRZgq "HTTP/1.1 200 OK"
2026-03-06 10:15:53,177 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/nILl85PtQn "HTTP/1.1 200 OK"
2026-03-06 10:15:53,339 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/hAnZO0cLcR "HTTP/1.1 200 OK"
2026-03-06 10:15:53,502 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/sl60sPhA2n "HTTP/1.1 200 OK"
2026-03-06 10:15:53,671 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/st59lgqRhS "HTTP/1.1 200 OK"
2026-03-06 10:15:53,837 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/z58Lydtp0P "HTTP/1.1 200 OK"
2026-03-06 10:15:54,013 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/S800hL0Q9P "HTTP/1.1 200 OK"
2026-03-06 10:15:54,176 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/pul00IZOZN "HTTP/1.1 200 OK"
2026-03-06 10:15:54,328 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/uphA9gU6z0 "HTTP/1.1 200 OK"
2026-03-06 10:15:54,484 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/5pZgndIlLt "HTTP/1.1 200 OK"
2026-03-06 10:15:54,647 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/E2p0hnUStc "HTTP/1.1 200 OK"
2026-03-06 10:15:54,810 | INFO | httpx | HTTP Request: GET https://api.manifold.markets/v0/market/Z6lSPh22CN "HTTP/1.1 200 OK"
