trade_id,date,strategy,position_size,pnl,running_balance
309,2026-03-09,calibration,131.9124,0.0,659.5622
310,2026-03-09,calibration,131.9124,0.0,659.5622
311,2026-03-09,calibration,131.9124,0.0,659.5622
312,2026-03-09,calibration,131.9124,0.0,659.5622
313,2026-03-09,calibration,131.9124,0.0,659.5622
314,2026-03-09,calibration,131.9124,0.0,659.5622
315,2026-03-09,calibration,131.9124,0.0,659.5622
316,2026-03-09,calibration,131.9124,0.0,659.5622
317,2026-03-09,calibration,131.9124,0.0,659.5622
318,2026-03-09,calibration,131.9124,0.0,659.5622
319,2026-03-09,calibration,131.9124,0.0,659.5622
320,2026-03-09,calibration,131.9124,0.0,659.5622
321,2026-03-09,calibration,131.9124,0.0,659.5622
322,2026-03-09,calibration,131.9124,0.0,659.5622
323,2026-03-09,calibration,131.9124,0.0,659.5622
324,2026-03-09,calibration,131.9124,0.0,659.5622
325,2026-03-09,calibration,131.9124,0.0,659.5622
326,2026-03-09,calibration,131.9124,0.0,659.5622
327,2026-03-09,calibration,131.9124,0.0,659.5622
328,2026-03-09,calibration,131.9124,0.0,659.5622
329,2026-03-09,calibration,131.9124,0.0,659.5622
330,2026-03-09,calibration,131.9124,0.0,659.5622
331,2026-03-09,calibration,131.9124,0.0,659.5622
332,2026-03-09,calibration,131.9124,0.0,659.5622
333,2026-03-09,calibration,131.9124,0.0,659.5622
334,2026-03-09,calibration,131.9124,0.0,659.5622
335,2026-03-09,calibration,131.9124,0.0,659.5622
336,2026-03-09,calibration,131.9124,0.0,659.5622
337,2026-03-09,calibration,131.9124,0.0,659.5622
338,2026-03-09,calibration,131.9124,0.0,659.5622
339,2026-03-09,calibration,131.9124,0.0,659.5622
340,2026-03-09,calibration,131.9124,0.0,659.5622
341,2026-03-09,calibration,131.9124,0.0,659.5622
342,2026-03-09,calibration,131.9124,0.0,659.5622
343,2026-03-09,calibration,131.9124,0.0,659.5622
344,2026-03-09,calibration,131.9124,0.0,659.5622
345,2026-03-09,calibration,131.9124,0.0,659.5622
346,2026-03-09,calibration,131.9124,0.0,659.5622
347,2026-03-09,calibration,131.9124,0.0,659.5622
348,2026-03-09,calibration,131.9124,0.0,659.5622
349,2026-03-09,calibration,131.9124,0.0,659.5622
350,2026-03-09,calibration,131.9124,0.0,659.5622
351,2026-03-09,calibration,131.9124,0.0,659.5622
352,2026-03-09,calibration,131.9124,0.0,659.5622
353,2026-03-09,calibration,131.9124,0.0,659.5622
354,2026-03-09,calibration,131.9124,0.0,659.5622
355,2026-03-09,calibration,131.9124,0.0,659.5622
356,2026-03-09,calibration,131.9124,0.0,659.5622
357,2026-03-09,calibration,131.9124,0.0,659.5622
358,2026-03-09,calibration,131.9124,0.0,659.5622
359,2026-03-09,calibration,131.9124,0.0,659.5622
360,2026-03-09,calibration,131.9124,0.0,659.5622
361,2026-03-09,calibration,131.9124,0.0,659.5622
362,2026-03-09,calibration,131.9124,0.0,659.5622
363,2026-03-09,calibration,131.9124,0.0,659.5622
364,2026-03-09,calibration,131.9124,0.0,659.5622
365,2026-03-09,calibration,131.9124,0.0,659.5622
